profile,programmer_type
"{""PHP"": [104508, 34], ""Python"": [276278, 86], ""Go"": [53876, 202], ""JavaScript"": [13423, 104], ""SQL"": [217503, 105], ""HTML"": [504456, 118], ""CSS"": [271263, 249]}",FullStack
"{""Python"": [209173, 24], ""C#"": [250911, 141], ""C++"": [456574, 155], ""Lua"": [609294, 193]}",GameDev
"{""C"": [20308, 275], ""C++"": [160094, 197], ""Python"": [368231, 42], ""JavaScript"": [270454, 231]}",CyberSecurity
"{""SQL"": [171752, 51], ""PHP"": [437562, 271], ""Java"": [244767, 238], ""Go"": [81869, 133]}",Backend
"{""TypeScript"": [882596, 148], ""Vue"": [771182, 145], ""CSS"": [79079, 163], ""JavaScript"": [330217, 107], ""HTML"": [157069, 81], ""Sass"": [546408, 40], ""React"": [691165, 9]}",Frontend
"{""MATLAB"": [275498, 32], ""Julia"": [135242, 192], ""Python"": [741794, 294], ""SQL"": [1005409, 38], ""Scala"": [232296, 246]}",DataScientist
"{""Python"": [589416, 110], ""Ruby"": [520628, 174], ""Node.js"": [477828, 95], ""PHP"": [851294, 168], ""C#"": [204661, 93], ""SQL"": [206583, 240]}",Backend
"{""Vue"": [124703, 246], ""JavaScript"": [879972, 256], ""Sass"": [671274, 177], ""HTML"": [148573, 209], ""React"": [337247, 44]}",Frontend
"{""Python"": [320607, 162], ""Ruby"": [807380, 14], ""Batch"": [742538, 103], ""PowerShell"": [147377, 150]}",Automation
"{""C#"": [216587, 90], ""Lua"": [1004237, 283], ""C++"": [64062, 2], ""Python"": [1669633, 158], ""Rust"": [775682, 53]}",GameDev
"{""Shell"": [493435, 278], ""Go"": [542914, 22], ""Python"": [353254, 174], ""Batch"": [567600, 140], ""Ruby"": [111020, 260]}",Automation
"{""Groovy"": [146321, 112], ""YAML"": [1592618, 209], ""Python"": [1158886, 35], ""Go"": [1416876, 185], ""Dockerfile"": [558505, 142]}",DevOps
"{""JavaScript"": [286835, 148], ""Swift"": [102106, 73], ""Java"": [1349838, 274], ""Dart"": [1001378, 188]}",Mobile
"{""Ruby"": [651249, 161], ""Python"": [176454, 135], ""Node.js"": [125946, 216], ""C#"": [262796, 69], ""SQL"": [687869, 177]}",Backend
"{""PowerShell"": [11130, 257], ""Batch"": [717643, 279], ""Python"": [551390, 187], ""Shell"": [70167, 68], ""Ruby"": [249693, 13]}",Automation
