name,top1lang,top2lang,top3lang,top4lang,top5lang,top1lib,top2lib,top3lib,top4lib,top5lib,top6lib,top7lib,category
frontend_0001,TypeScript,CSS,JavaScript,Vue,Svelte,date-fns,vue,vite,,,,,Frontend Development
frontend_0002,JavaScript,HTML,TypeScript,,,angular,redux,radix-ui,,,,,Frontend Development
frontend_0003,HTML,Svelte,TypeScript,,,axios,redux,nuxt,vue,lucide-react,tailwindcss,,Frontend Development
frontend_0004,TypeScript,Vue,HTML,,,axios,react-hook-form,styled-components,zod,nuxt,radix-ui,,Frontend Development
frontend_0005,Vue,JavaScript,TypeScript,CSS,Svelte,react-router,zod,tanstack-query,axios,nuxt,vite,react-hook-form,Frontend Development
frontend_0006,JavaScript,SCSS,HTML,,,redux,react,zustand,radix-ui,next,,,Frontend Development
frontend_0007,JavaScript,Vue,SCSS,TypeScript,,nuxt,react-router,react,lodash,tanstack-query,vite,,Frontend Development
frontend_0008,Vue,CSS,SCSS,,,angular,styled-components,date-fns,zustand,,,,Frontend Development
frontend_0009,TypeScript,Svelte,HTML,,,react-router,vite,shadcn-ui,nuxt,zod,,,Frontend Development
frontend_0010,CSS,Svelte,Vue,,,svelte,angular,react-hook-form,framer-motion,vite,zustand,styled-components,Frontend Development
frontend_0011,Svelte,TypeScript,SCSS,HTML,,radix-ui,next,redux,vue,webpack,styled-components,zod,Frontend Development
frontend_0012,Less,SCSS,CSS,TypeScript,HTML,tanstack-query,styled-components,svelte,tailwindcss,vue,,,Frontend Development
frontend_0013,HTML,CSS,TypeScript,SCSS,CoffeeScript,axios,angular,next,,,,,Frontend Development
frontend_0014,TypeScript,HTML,JavaScript,Vue,Svelte,vue,styled-components,shadcn-ui,,,,,Frontend Development
frontend_0015,Vue,CSS,TypeScript,HTML,,react-hook-form,svelte,nuxt,zod,zustand,vite,radix-ui,Frontend Development
frontend_0016,JavaScript,CSS,SCSS,,,angular,next,react,react-hook-form,,,,Frontend Development
frontend_0017,Vue,Svelte,TypeScript,,,next,redux,svelte,,,,,Frontend Development
frontend_0018,HTML,JavaScript,CSS,,,vite,vue,redux,tailwindcss,styled-components,date-fns,react,Frontend Development
frontend_0019,TypeScript,SCSS,Svelte,JavaScript,CSS,radix-ui,vue,angular,,,,,Frontend Development
frontend_0020,Vue,TypeScript,SCSS,Svelte,,vue,redux,radix-ui,react,,,,Frontend Development
frontend_0021,TypeScript,HTML,JavaScript,,,vite,react,webpack,zod,,,,Frontend Development
frontend_0022,JavaScript,SCSS,Svelte,HTML,,zustand,webpack,svelte,next,react,axios,,Frontend Development
frontend_0023,TypeScript,HTML,CSS,,,lodash,svelte,lucide-react,react,next,,,Frontend Development
frontend_0024,HTML,JavaScript,TypeScript,Less,CSS,shadcn-ui,zustand,tailwindcss,,,,,Frontend Development
frontend_0025,CSS,Less,TypeScript,Svelte,JavaScript,vite,redux,next,nuxt,axios,react,radix-ui,Frontend Development
frontend_0026,TypeScript,JavaScript,HTML,Less,Vue,date-fns,tailwindcss,svelte,,,,,Frontend Development
frontend_0027,HTML,CoffeeScript,SCSS,TypeScript,Vue,next,redux,lucide-react,vue,svelte,,,Frontend Development
frontend_0028,TypeScript,CSS,JavaScript,,,tailwindcss,react-hook-form,lodash,styled-components,angular,classnames,react,Frontend Development
frontend_0029,Svelte,TypeScript,CSS,JavaScript,CoffeeScript,svelte,webpack,react-hook-form,shadcn-ui,vue,lucide-react,,Frontend Development
frontend_0030,HTML,Svelte,CSS,TypeScript,JavaScript,nuxt,classnames,react-router,tanstack-query,,,,Frontend Development
frontend_0031,HTML,SCSS,JavaScript,CSS,,date-fns,zod,react-hook-form,classnames,,,,Frontend Development
frontend_0032,Less,SCSS,Svelte,,,react,react-router,tailwindcss,lucide-react,,,,Frontend Development
frontend_0033,JavaScript,Svelte,TypeScript,Vue,SCSS,angular,tanstack-query,webpack,nuxt,,,,Frontend Development
frontend_0034,TypeScript,JavaScript,HTML,,,lodash,zod,next,zustand,,,,Frontend Development
frontend_0035,JavaScript,TypeScript,Vue,CSS,,shadcn-ui,zod,react,zustand,tailwindcss,axios,webpack,Frontend Development
frontend_0036,CSS,HTML,TypeScript,Svelte,JavaScript,classnames,styled-components,react-hook-form,,,,,Frontend Development
frontend_0037,JavaScript,TypeScript,Svelte,HTML,CSS,tanstack-query,redux,next,nuxt,,,,Frontend Development
frontend_0038,CSS,JavaScript,TypeScript,SCSS,,lucide-react,zustand,date-fns,radix-ui,next,,,Frontend Development
frontend_0039,JavaScript,TypeScript,Vue,SCSS,CSS,vite,redux,styled-components,,,,,Frontend Development
frontend_0040,HTML,JavaScript,SCSS,CSS,TypeScript,lucide-react,angular,nuxt,axios,,,,Frontend Development
